rank,address,nfts,amount_plank,amount_wei,pct_of_pool,pct_of_supply
1,0x4d39083a277c4908844dfde44a368ba4d26bedaf,65,1575467803845,1575467803845000000000000000000,4.2153048,0.1773336576
2,0x8e170d8b87ff190e89b75f0bce4999e9da2431c8,37,896804749881,896804749881000000000000000000,2.39948119,0.1009437743
3,0xa1f59c3b73715af89aad711fafc47e0776857944,35,848328817455,848328817455000000000000000000,2.26977951,0.0954873541
4,0x061315a4598854f3e228fccd6b0cfb1a6435ba5f,33,799852885029,799852885029000000000000000000,2.14007782,0.0900309339
5,0x9819bbb9c355ab6f91304a1a54d301d72ca31247,33,799852885029,799852885029000000000000000000,2.14007782,0.0900309339
6,0xed600ba1297c9abd9cab2e2eb88a44b666910ea9,33,799852885029,799852885029000000000000000000,2.14007782,0.0900309339
7,0xf33b4d58353ec6bf220e6b5b4d75880877e1f978,33,799852885029,799852885029000000000000000000,2.14007782,0.0900309339
8,0x699c7dc26322c70bc1f52c9420e0b93594ee3163,28,678663053964,678663053964000000000000000000,1.81582361,0.0763898833
9,0x72d0fd2f9cdd52905f8db816efba9cce8abf684d,27,654425087751,654425087751000000000000000000,1.75097276,0.0736616732
10,0x287dcdd23a5ca68f1f5194ed5458676a5ac5849e,25,605949155325,605949155325000000000000000000,1.62127108,0.0682052529
11,0x0ce61dc009669c4691491263dca7c30209924ed3,24,581711189112,581711189112000000000000000000,1.55642023,0.0654770428
12,0x5880ad155eddab6ea413f8c8b243c11f737573f9,24,581711189112,581711189112000000000000000000,1.55642023,0.0654770428
13,0x70d50867373331acda3513fd353ec4d394f2331c,22,533235256686,533235256686000000000000000000,1.42671855,0.0600206226
14,0x32f00258ed197badc0971da04799aa7042b81253,20,484759324260,484759324260000000000000000000,1.29701686,0.0545642023
15,0x7304b78e28370f45fdf77ca67bdbbf550c3aac34,19,460521358047,460521358047000000000000000000,1.23216602,0.0518359922
16,0x63f67a2e42352c693e8d7c88dff0ad6c58e29bb1,18,436283391834,436283391834000000000000000000,1.16731518,0.0491077821
17,0x06b4e5bd69cf2feda7ba52c8554e9110581464d5,17,412045425621,412045425621000000000000000000,1.10246433,0.046379572
18,0x66199aa0764a540dcca5a6593368b3434c908669,17,412045425621,412045425621000000000000000000,1.10246433,0.046379572
19,0xfd25d661e28f684e72c484dfe7cceb0af43a12f9,17,412045425621,412045425621000000000000000000,1.10246433,0.046379572
20,0x89f6b520a1715373fa21e311d6833d19b3cec5dc,16,387807459408,387807459408000000000000000000,1.03761349,0.0436513619
21,0xe4b67c77317d32da364ae36c3a4bec4d166d53b4,16,387807459408,387807459408000000000000000000,1.03761349,0.0436513619
22,0x6dbb6e3a7218df1f1c3f83f83383970547ab7dce,15,363569493195,363569493195000000000000000000,0.97276265,0.0409231518
23,0xac2d528ed9add1ed761ac06bab3dd8fb40792189,15,363569493195,363569493195000000000000000000,0.97276265,0.0409231518
24,0xb8ebbe55b5c18ad0075b3b247b50ea82385bda0d,15,363569493195,363569493195000000000000000000,0.97276265,0.0409231518
25,0x1b29ee80ba7316f65d496ccbdf66245a8fef363e,14,339331526982,339331526982000000000000000000,0.9079118,0.0381949416
26,0x4113715efb2282cc63ec04129628ed5ef8799938,14,339331526982,339331526982000000000000000000,0.9079118,0.0381949416
27,0x9f010a1583f7ed30d6cd46937c023e9fb4a5f847,14,339331526982,339331526982000000000000000000,0.9079118,0.0381949416
28,0xc1db89b97b45953c0ef51295ab6826076d347dce,14,339331526982,339331526982000000000000000000,0.9079118,0.0381949416
29,0x2bb7e2184b2dfc2595d6a8a557507bb763c4eb44,13,315093560769,315093560769000000000000000000,0.84306096,0.0354667315
30,0x5ed93a19e87a2b53a5bb3c225c09177dbe98ff40,13,315093560769,315093560769000000000000000000,0.84306096,0.0354667315
31,0x878ed19b41394261d5215de18ced642a3f0ed451,12,290855594556,290855594556000000000000000000,0.77821012,0.0327385214
32,0x701e2034cf2128a2f526a0044cd69ef9faafadcc,11,266617628343,266617628343000000000000000000,0.71335927,0.0300103113
33,0x8439bf8e1fdd160da268a89c397d0921a17043b4,11,266617628343,266617628343000000000000000000,0.71335927,0.0300103113
34,0x55fe120cce30167c1c4e579fcd7423f7d8f95821,10,242379662130,242379662130000000000000000000,0.64850843,0.0272821012
35,0xd6dab4691ee54fd06b3e834c90b78ff5cb633ee8,10,242379662130,242379662130000000000000000000,0.64850843,0.0272821012
36,0x105cea72284784b13a26c633ce18de4711f81c29,9,218141695917,218141695917000000000000000000,0.58365759,0.0245538911
37,0x486058f0d5c838454a7b5905c3b1ece98b76972c,9,218141695917,218141695917000000000000000000,0.58365759,0.0245538911
38,0x820dbcaa5834c11824b51ec0e5b713165ed6f61e,9,218141695917,218141695917000000000000000000,0.58365759,0.0245538911
39,0xf899f549aaf979d8e451d42c31c48a4e39ac59c9,9,218141695917,218141695917000000000000000000,0.58365759,0.0245538911
40,0x5c22257be909cc48e803007e9a9656f94c3faba0,8,193903729704,193903729704000000000000000000,0.51880674,0.0218256809
41,0xc62965d0c1bacabbeae5cd758c2888bcd1c7f4d8,8,193903729704,193903729704000000000000000000,0.51880674,0.0218256809
42,0xd1913ca2126fe5f230a0f32946aa839455f43a1a,8,193903729704,193903729704000000000000000000,0.51880674,0.0218256809
43,0xf8da81acae505dcc1078409e00416af42cf2ab40,8,193903729704,193903729704000000000000000000,0.51880674,0.0218256809
44,0x2b25e8d77642e6b8be906c66254538d52611d0ba,7,169665763491,169665763491000000000000000000,0.4539559,0.0190974708
45,0xe975b410c3864f1819af1e662098790a4cf9b04d,7,169665763491,169665763491000000000000000000,0.4539559,0.0190974708
46,0x1afb13de99de869fe3efa7115f598eccba3cb555,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
47,0x349661a1aa403f7e1b2e10c30f4689568200b7cc,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
48,0x36e87529a3d23eb60300cf2095902387b5251622,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
49,0x3e0914fc2b3b67a476142020b7d6990d01ad234e,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
50,0x46455f2fec29f31f058a50cc70621ffaccfd030a,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
51,0x7558cd06f3f53391e50d093ee000266b685fc875,6,145427797278,145427797278000000000000000000,0.38910506,0.0163692607
